,coefficients,p_values,std_error
Intercept,0.7081834863262626,1.425100436105572e-41,0.05069766942583841
target_F0[T.124 Hz],-0.09359349539819248,4.404271034603768e-05,0.021437109235177092
target_F0[T.144 Hz],0.023080705180770548,0.39650185344040245,0.025102969944848508
target_F0[T.191 Hz],0.027070490759382067,0.463031119859244,0.0332720805437578
target_F0[T.251 Hz],-0.024106024497437963,0.49552806306005015,0.03453343853755196
past_trial_catch[T.1],-0.00607398647298614,0.6117108639376581,0.013961247857247422
talker[T.Female],-0.15092483503499673,5.632116941054785e-08,0.02499053230698514
side_of_audio[T.Right],0.055459240582300305,1.1255243021937646e-05,0.012020031655618421
precursor_equals_target_F0[T.1.0],-0.036934468476551366,0.006299662362376729,0.012924887706056801
past_resp__correct[T.1],0.002363937269344548,0.7771885102350254,0.025981158862081254
trial_no_,0.00040020527189068715,0.0385483730805969,0.00018523612461077477
target_time,-0.02481204576031319,6.389518124753787e-07,0.004875632883145616
Group Var,0.0841182356759815,0.1713412844906436,0.061477794680306806
